#tipo;frente;verso;contexto;tags
Basic;"Qual é a primeira conduta imediata ao presenciar uma crise convulsiva?";"Proteger a cabeça e afastar objetos perigosos";"Deite a vítima de costas, coloque algo macio sob a cabeça e afaste móveis ou objetos cortantes.";primeiros-socorros;convulsao
Basic;"Como deve ser posicionada uma pessoa que acabou de desmaiar?";"Deitada de costas com as pernas elevadas";"Elevar as pernas a cerca de 30 cm ajuda a restaurar o fluxo sanguíneo para o cérebro. Afrouxe as roupas.";primeiros-socorros;desmaio
Basic;"O que NUNCA deve ser feito durante uma crise convulsiva em relação à boca da vítima?";"Não colocar nada na boca nem tentar segurar a língua";"Pegadinha clássica: tentar puxar a língua ou colocar colher/dedo na boca causa fraturas dentárias e lesões graves no socorrista.";primeiros-socorros;convulsao
Basic;"Qual é a manobra padrão para desobstrução de vias aéreas (engasgo) em adultos conscientes?";"Manobra de Heimlich";"Abraçar a vítima por trás, posicionar as mãos entre o umbigo e o esterno, e realizar compressões para dentro e para cima.";primeiros-socorros;engasgo
Basic;"Como é feita a desobstrução de vias aéreas em bebês conscientes (menores de 1 ano)?";"5 pancadas nas costas seguidas de 5 compressões no peito";"Posicione o bebê de bruços em seu antebraço, cabeça mais baixa que o corpo, faça 5 pancadas interescapulares e vire para 5 compressões.";primeiros-socorros;engasgo
Basic;"Qual é a conduta inicial padrão para o tratamento imediato de queimaduras?";"Resfriar com água corrente fria";"Lave com água corrente em temperatura ambiente por pelo menos 10-15 minutos. Não aplique gelo, pomadas, manteiga ou pasta de dente.";primeiros-socorros;queimadura
Basic;"Por que é estritamente proibido furar as bolhas de uma queimadura de segundo grau?";"Porque a bolha protege a pele contra infecções";"Furar a bolha expõe a derme lesionada a microrganismos, aumentando severamente o risco de infecções.";primeiros-socorros;queimadura
Basic;"Por que NUNCA se deve provocar o vômito em caso de intoxicação por produtos corrosivos (ácidos/álcalis)?";"Porque o produto queima o esôfago e a via aérea duas vezes";"Substâncias corrosivas danificam na ida e, se provocados, na volta, gerando risco severo de perfuração e pneumonia química.";primeiros-socorros;intoxicacao
Basic;"Ao conter uma hemorragia com pano limpo, o que fazer se o primeiro pano ficar encharcado de sangue?";"Colocar outro pano por cima sem retirar o primeiro";"Retirar o primeiro pano destrói o coágulo de fibrina que está se formando, reiniciando o sangramento.";primeiros-socorros;sangramento
Basic;"Qual é a regra de ouro para o manejo de fraturas fechadas antes da chegada do socorro?";"Imobilizar o membro na posição em que se encontra";"Use talas improvisadas (papelão, madeira) que passem da articulação acima e abaixo do foco de fratura. Nunca tente colocar o osso no lugar.";primeiros-socorros;fratura
Basic;"Em caso de suspeita de trauma na coluna (queda ou acidente grave), qual a conduta padrão de movimentação?";"Não movimentar a vítima e estabilizar a cabeça manualmente";"Manter a coluna alinhada. Só movimentar se houver risco iminente de morte (incêndio, explosão).";primeiros-socorros;trauma
Basic;"Qual é o número de telefone de emergência do SAMU e dos Bombeiros, respectivamente?";"192 e 193";"SAMU (192) acionado em emergências clínicas/cardiacas. Bombeiros (193) acionados em traumas, acidentes e incêndios.";primeiros-socorros;acionamento
